case,mAh,ps_label,p_frac,am_wt,dem_porosity_pct,mpm_porosity_pct,dem_cov_amp_hertz,dem_cov_amp_tabor,mpm_cov_amp_plastic_tabor,mpm_cov_amp_rigid_tabor,sigma_ionic_hertz_mScm,sigma_ionic_physics_mScm,thickness_um,fracture_severe_pct,n_am,n_se,r_se,e_se
input_8mAh_real_5,8,10:0,1.0,82,16.29,16.84,17.5,43.9,80,77,0.1697,0.1128,150.49,29.0,227,209220,0.5,1.35
input_2mAh_real_5,2,10:0,1.0,77,10.23,11.56,25.0,71.7,78,75,0.419,0.2433,37.12,58.03,53,67512,0.5,1.35
input_2mAh_real_4,2,7:3,0.700,77,3.33,7.08,36.6,96.7,83,81,0.5172,0.4005,34.82,2.36,468,67522,0.5,1.35
input_2mAh_real_3,2,5:5,0.500,77,10.48,13.08,31.0,88.2,85,82,0.3152,0.2144,37.44,0.57,744,67490,0.5,1.35
input_2mAh_real_2,2,3:7,0.300,77,11.21,14.35,30.4,86.9,88,85,0.3009,0.201,37.58,0.35,1019,67489,0.5,1.35
input_2mAh_real_1,2,0:10,0.000,77,13.53,16.09,,,,,0.259,0.1691,38.59,0.0,1434,67528,0.5,1.35
input_2mAh_a5_p00,2,0:10,0.000,50,2.36,13.18,,,,,0.8367,1.0805,72.55,0.0,995,5658,1.5,1.35
input_2mAh_a5_p02,2,2:8,0.200,50,1.87,12.37,44.5,100.0,73,69,0.8875,1.184,72.54,0.12,804,5657,1.5,1.35
input_2mAh_a5_p04,2,4:6,0.400,50,2.2,12.64,44.8,99.7,73,68,0.9351,1.2561,72.57,0.34,612,5657,1.5,1.35
input_2mAh_a5_p06,2,6:4,0.600,50,2.27,12.13,45.4,100.0,73,69,0.9818,1.3206,72.41,3.1,420,5658,1.5,1.35
input_2mAh_a5_p08,2,8:2,0.800,50,1.04,10.99,47.5,100.0,74,69,1.007,1.3884,71.88,9.21,229,5658,1.5,1.35
input_2mAh_a5_p10,2,10:0,1.000,50,1.67,10.98,48.7,100.0,78,73,1.069,1.4484,72.12,47.06,37,5658,1.5,1.35
input_2mAh_a6_p00,2,0:10,0.000,60,5.84,15.39,,,,,0.5365,0.5889,57.54,0.0,995,3773,1.5,1.35
input_2mAh_a6_p02,2,2:8,0.200,60,5.12,14.46,36.8,99.1,61,56,0.5882,0.6889,57.45,0.09,803,3773,1.5,1.35
input_2mAh_a6_p04,2,4:6,0.400,60,4.32,13.74,38.9,100.0,64,60,0.6426,0.7375,56.77,0.96,612,3773,1.5,1.35
input_2mAh_a6_p06,2,6:4,0.600,60,2.95,12.22,42.9,99.7,67,63,0.7032,0.8246,55.75,1.07,420,3772,1.5,1.35
input_2mAh_a6_p08,2,8:2,0.800,60,4.22,12.18,40.0,98.1,66,61,0.7552,0.8517,56.87,5.91,229,3773,1.5,1.35
input_2mAh_a6_p10,2,10:0,1.000,60,5.03,12.09,42.1,99.9,70,64,0.7909,0.9091,57.13,52.38,37,3773,1.5,1.35
input_2mAh_a7_p00,2,0:10,0.000,70,11.5,17.90,,,,,0.2763,0.2379,47.76,0.0,995,2425,1.5,1.35
input_2mAh_a7_p02,2,2:8,0.200,70,10.18,16.79,30.0,93.8,52,48,0.3167,0.2741,47.45,0.14,804,2425,1.5,1.35
input_2mAh_a7_p04,2,4:6,0.400,70,9.05,15.78,31.0,91.1,53,49,0.3802,0.3562,46.59,0.72,610,2425,1.5,1.35
input_2mAh_a7_p06,2,6:4,0.600,70,9.41,14.87,32.8,93.4,55,49,0.4181,0.3698,46.61,3.41,421,2425,1.5,1.35
input_2mAh_a7_p08,2,8:2,0.800,70,7.6,13.63,33.9,94.6,56,51,0.449,0.4095,46.01,9.73,227,2425,1.5,1.35
input_2mAh_a7_p10,2,10:0,1.000,70,8.79,13.94,34.8,96.7,59,54,0.4899,0.4226,46.44,47.83,37,2426,1.5,1.35
input_2mAh_a8_p00,2,0:10,0.000,80,19.45,22.98,,,,,0.0488,0.0232,41.36,0.0,994,1414,1.5,1.35
input_2mAh_a8_p02,2,2:8,0.200,80,17.02,20.78,20.6,64.1,39,36,0.0789,0.0477,40.57,0.12,803,1414,1.5,1.35
input_2mAh_a8_p04,2,4:6,0.400,80,14.87,17.69,21.7,69.2,39,34,0.1082,0.0644,39.33,0.92,612,1414,1.5,1.35
input_2mAh_a8_p06,2,6:4,0.600,80,13.54,16.43,24.2,74.6,42,37,0.14,0.0938,38.43,1.98,418,1414,1.5,1.35
input_2mAh_a8_p08,2,8:2,0.800,80,14.89,17.45,22.9,70.4,40,35,0.1624,0.1028,39.51,9.46,229,1414,1.5,1.35
input_2mAh_a8_p10,2,10:0,1.000,80,15.68,16.60,23.1,69.1,42,36,0.1397,0.0934,39.64,62.12,37,1415,1.5,1.35
input_2mAh_a9_p00,2,0:10,0.000,90,28.1,27.42,,,,,,,36.69,0.0,994,629,1.5,1.35
input_2mAh_a9_p02,2,2:8,0.200,90,25.88,25.30,8.7,27.8,19,15,,,36.06,0.05,803,629,1.5,1.35
input_2mAh_a9_p04,2,4:6,0.400,90,23.95,22.45,9.7,30.5,21,17,0.004,0.0028,34.91,0.64,612,629,1.5,1.35
input_2mAh_a9_p06,2,6:4,0.600,90,22.8,20.75,10.7,31.8,22,18,,,33.79,2.42,408,629,1.5,1.35
input_2mAh_a9_p08,2,8:2,0.800,90,23.24,19.84,10.3,30.8,23,18,,,34.74,9.33,228,629,1.5,1.35
input_2mAh_a9_p10,2,10:0,1.000,90,26.41,10.89,10.8,31.0,22,19,,,35.98,60.53,37,629,1.5,1.35
input_8mAh_real_19,8,7:3,0.700,77,12.22,13.23,21.4,,86,84,0.3692,0.2195,162.67,0.06,1986,286794,0.5,1.35
input_2mAh_real_9_E1.5_S3,2,7:3,0.700,82,12.47,14.07,26.3,72.9,82,79,0.2032,0.1271,33.58,4.31,463,49135,0.5,1.5
input_2mAh_real_9_E1.5_S2,2,7:3,0.700,82,13.19,14.26,24.1,66.6,82,79,0.1797,0.1143,33.85,3.91,463,49121,0.5,1.5
input_2mAh_real_9_E1.5,2,7:3,0.700,82,12.64,13.55,24.6,68.2,81,78,0.1877,0.1173,33.64,4.99,463,49132,0.5,1.5
