name,dopant,cation_site,anion_site,concentration,charge_compensation,n_fu_actual,screen_de_per_atom,screen_dV_over_V0,screen_converged,tier2_li_li_disorder_std,tier2_li_li_disorder_mean,tier2_dopant_blocking_fraction,tier2_lattice_angle_dev_deg,tier2_lattice_aspect_ratio,bvs_li_mean,bvs_li_std,bvs_li_proxy_score,migration_volume_fraction,li_mobility_score,anneal_delta_E_meV,anneal_E_post_per_atom,anneal_dV_pct,anneal_converged,eos_B0_GPa,eos_V0_per_atom,eos_Bp,eos_r2,eos_fit_quality_ok,eos_fit_quality_reason,elastic_B_hill_GPa,elastic_G_hill_GPa,elastic_E_young_GPa,elastic_pugh_GoverB,elastic_poisson_nu,sigma_300K_S_cm_NE,sigma_md_Ea_eV,sigma_md_D_300K_cm2s,sigma_md_fit_R2,sigma_md_n_T_points,wad_J_m2_mean,wad_J_m2_std,wad_n_seeds,wad_n_lbfgs_ok,wad_ncm_nx,wad_area_mismatch_pct,sigma_md_sanity_warnings_count,wad_lbfgs_ok_fraction,wad_area_mismatch_severity,rerank_de_pre_anneal,rerank_de_post_anneal,rerank_delta_E_anneal_meV,combined_score,rank_combined,composition_Ag,composition_Cl,composition_Li,composition_O,composition_P,composition_S,compound_id,concentration_label,concentration_pct,concentration_fraction,composition_Al,composition_Br,composition_F,composition_I,composition_N,composition_B,composition_Ba,composition_Ca,composition_Co,composition_Cr,composition_Cu,composition_Fe,composition_Ga,composition_Gd,composition_Ge,composition_Hf,composition_In,composition_La,composition_Mg,composition_Mn,composition_Mo,composition_Na,composition_Nb,composition_Nd,composition_Ni,composition_Sb,composition_Sc,composition_Si,composition_Sm,composition_Sn,composition_Sr,composition_Ta,composition_Ti,composition_V,composition_W,composition_Y,composition_Zn,composition_Zr
Ag2O_x020_cLi24gaS16e_s00,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4394525130650675,-0.1683912389383636,True,0.1671971944393922,2.996143622606858,0.6363636363636364,1.0654463223204471,1.0253014186490306,0.9946222840614442,0.0757243833253536,0.9193051249592368,0.1216,,-801.7044395414251,-4.196411058754916,-7.970443970930654,True,26.462276514687904,18.97191390339381,3.039501281216916,0.9992674991956622,True,OK,30.07619434452657,19.61968063199342,48.34639867551058,0.6523325526909263,0.2320893388211701,,,,,,,,,,,,0,,,-0.4394525130650675,-0.5066297773077486,-801.704439541425,0.85,1,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s01,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4273759351336692,-0.0748250061656915,True,0.1951566784604606,3.0510953431885426,0.4545454545454545,0.6083479871499363,1.057263546529341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.3471290690838042,10,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s02,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4232568938182646,-0.0442613776244965,True,0.3025953593259647,3.037050060506198,0.5454545454545454,2.152595251209819,1.05345820156434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.3365853058640607,11,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s03,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4352828196498097,-0.1049538130673112,True,0.2024396259350467,2.9859576256409683,0.5,1.1396020079956588,1.1027503601673956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.3673688073530601,5,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s04,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4323430479245167,-0.1338819499967968,True,0.1693502310460453,2.968407085004995,0.4090909090909091,0.7786138853456686,1.046210913544947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.3598436929834459,7,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s00,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.362219969225928,-0.1235771925484365,True,0.2098127897855422,3.084734091904469,0.6363636363636364,1.2677856545297292,1.0375514540767603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.180345338530858,17,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s01,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.4114860485431886,-0.0509631908677627,True,0.3346744835291683,3.174453859948618,0.4545454545454545,1.1746136494477686,1.1429177741151189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.3064547497532282,13,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s02,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.3503652167496498,-0.1097460767335056,True,0.2591266839816306,3.0318691401384537,0.5454545454545454,1.5957631865822846,1.1076802589961985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.15,20,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s03,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.4115356345126879,-0.0508886374845513,True,0.3349286471130356,3.1750243038252166,0.4545454545454545,1.171474151995566,1.1430374048185366,0.9934602191712714,0.0941312468000416,0.8999445700944368,0.147584,,-768.5831715497096,-4.130199722070123,-4.182855853718996,True,21.76846541227827,19.772230767856332,6.619148673636386,0.998735370344362,True,OK,27.678530750091383,17.110392289311296,42.56101422067169,0.6181828234959619,0.2437182473969097,,,,,,,,,,,,0,,,-0.4115356345126879,-0.4404184406229556,-768.5831715497092,0.3805147720037884,4,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s04,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.3960893587684553,-0.1630582601908153,True,0.1765786196647661,2.9554819272302635,0.2272727272727272,2.120158879623699,1.0744727956141429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.2670428966248053,16,2.0,4.0,22,1.0,4,19,Ag2O,x002,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
