system,invT_1000overT,T_K,D_cm2_s,note
LPSOCl,1.6667,600,6.2705e-06,600K=4seed mean
LPSOCl,1.2500,800,2.4162e-05,single seed
LPSOCl,1.0000,1000,5.7093e-05,single seed
LPSOCl_s1,1.6667,600,3.8870e-06,individual seed
LPSOCl_s1,1.2500,800,2.0850e-05,individual seed
LPSOCl_s1,1.0000,1000,5.5250e-05,individual seed
LPSOCl_s2,1.6667,600,6.4050e-06,individual seed
LPSOCl_s2,1.2500,800,2.7890e-05,individual seed
LPSOCl_s2,1.0000,1000,6.9620e-05,individual seed
LPSOCl_s3,1.6667,600,5.8200e-06,individual seed
LPSOCl_s3,1.2500,800,1.8960e-05,individual seed
LPSOCl_s3,1.0000,1000,4.4280e-05,individual seed
LPSOCl_s4,1.6667,600,8.9700e-06,individual seed
LPSOCl_s4,1.2500,800,2.8950e-05,individual seed
LPSOCl_s4,1.0000,1000,5.9220e-05,individual seed
modelC,1.6667,600,7.9010e-06,anchor
modelC,1.2500,800,2.0540e-05,anchor
modelC,1.0000,1000,4.5540e-05,anchor
b2o3,1.6667,600,9.1740e-06,anchor
b2o3,1.2500,800,3.0090e-05,anchor
b2o3,1.0000,1000,5.0670e-05,anchor
