# cascade 코팅 후보 안정성 3축 (T9 계면4상대 / T10 hull / T11 H2S).
# 전부 닫힌계 pseudo-binary (Richards/Ong 2016 eq 2), MP GGA_GGA+U.
# hull 게이트 50 meV/atom = Lee 2024 (JMCA 12, 7272) Table 1 합성가능성 기술자. 계면 게이트는 Xiao 2019 F4 100 meV.
# ⛔ dE_H2S 는 열역학 구동력이지 반응 속도가 아니다 — 'H2S 가 나올 수 있는가'까지만.
# ⛔ 문헌 앵커(Lee 2024 Li6PS5I: LNO -107.55 / NCM811 -424.46 / Li -539.24)는 소환값 — 우리 값과 혼합 금지.
coating,e_above_hull_meV,synthesizable_50meV,dE_H2S_meV,H2S_reaction,dE_LCO_full_meV,dE_LCO_half_meV,dE_LPSCl_meV,dE_Li_metal_meV,dE_LNO_meV,rxn_LCO_full,rxn_LCO_half,rxn_LPSCl,rxn_Li_metal,rxn_LNO
Sc2O3,0.0,Y,-0.9,0.5 Sc2O3 + 0.5 H2O -> ScHO2,0.0,-0.0,-76.6,-34.5,-0.0,Sc2O3 -> Sc2O3,Sc2O3 -> Sc2O3,0.5714 Sc2O3 + 0.4286 Li6PS5Cl -> 0.03571 Li3Sc2(PO4)3 + 1.071 LiScS2 + 0.3214 Li3PO4 + 0.4286 LiCl,0.4 Sc2O3 + 0.6 Li -> 0.6 LiScO2 + 0.2 Sc,Sc2O3 -> Sc2O3
Cr2O3,0.0,Y,-26.9,0.5 Cr2O3 + 0.5 H2O -> CrHO2,-23.5,-15.1,-201.4,-611.0,-0.0,0.5714 Cr2O3 + 0.4286 LiCoO2 -> 0.4286 Cr2CoO4 + 0.1429 LiCrO2 + 0.1429 Li2CrO4,0.6 Cr2O3 + 0.4 Li0.5Co1O2 -> 0.3 CrO2 + 0.4 Cr2CoO4 + 0.1 Li2CrO4,0.5714 Cr2O3 + 0.4286 Li6PS5Cl -> 0.8571 LiCrS2 + 0.4286 Li3PO4 + 0.1429 Cr2S3 + 0.4286 LiCl,0.1429 Cr2O3 + 0.8571 Li -> 0.4286 Li2O + 0.2857 Cr,Cr2O3 -> Cr2O3
Gd2O3,0.0,Y,-22.2,0.5 Gd2O3 + 0.5 H2O -> GdHO2,-0.0,-0.0,-153.0,0.0,-55.8,Gd2O3 -> Gd2O3,Gd2O3 -> Gd2O3,0.8 Gd2O3 + 0.2 Li6PS5Cl -> 0.2 Li3PO4 + 0.2 Li2S + 0.8 Gd2SO2 + 0.2 LiCl,Li -> Li,0.75 LiNbO3 + 0.25 Gd2O3 -> 0.25 Li3NbO4 + 0.5 GdNbO4
In2O3,0.0,Y,-12.8,0.25 In2O3 + 0.75 H2O -> 0.5 In(HO)3,0.0,0.0,-285.4,-779.0,0.0,In2O3 -> In2O3,In2O3 -> In2O3,0.5714 In2O3 + 0.4286 Li6PS5Cl -> 0.8571 LiInS2 + 0.4286 Li3PO4 + 0.4286 LiCl + 0.1429 In2S3,0.1429 In2O3 + 0.8571 Li -> 0.4286 Li2O + 0.2857 In,In2O3 -> In2O3
Y2O3,0.0,Y,-14.3,0.5 Y2O3 + 0.5 H2O -> YHO2,-0.0,0.0,-126.2,0.0,-49.8,Y2O3 -> Y2O3,Y2O3 -> Y2O3,0.8 Y2O3 + 0.2 Li6PS5Cl -> 0.8 Y2SO2 + 0.2 Li2S + 0.2 Li3PO4 + 0.2 LiCl,Li -> Li,0.25 Y2O3 + 0.75 LiNbO3 -> 0.25 Li3NbO4 + 0.5 YNbO4
B2O3,0.0,Y,-32.0,0.75 H2O + 0.25 B2O3 -> 0.5 B(HO)3,-91.0,-72.5,-27.6,-505.7,-43.0,0.4128 LiCoO2 + 0.5872 B2O3 -> 0.02752 LiO8 + 0.1284 Li3B7O12 + 0.1376 Co3(BO3)2,0.5217 Li0.5Co1O2 + 0.4783 B2O3 -> 0.08696 Li3B7O12 + 0.1739 Co3(BO3)2 + 0.1957 O2,0.3171 Li6PS5Cl + 0.6829 B2O3 -> 0.3171 Li3PS4 + 0.1707 Li3B7O12 + 0.02439 Li5B7S13 + 0.3171 LiCl,0.7692 Li + 0.2308 B2O3 -> 0.07692 LiB3 + 0.2308 Li3BO3,0.375 LiNbO3 + 0.625 B2O3 -> 0.375 NbBO4 + 0.125 Li3B7O12
WO3,0.0,Y,0.0,WO3 -> WO3,-2.5,0.0,-376.9,-979.1,0.0,0.7143 LiCoO2 + 0.2857 WO3 -> 0.2857 Li2WO4 + 0.1429 Li(CoO2)2 + 0.1429 Co3O4,Li0.5Co1O2 -> 0.5 Li(CoO2)2,0.2903 Li6PS5Cl + 0.7097 WO3 -> 0.6452 WS2 + 0.1613 Li2SO4 + 0.06452 Li4WO5 + 0.2903 Li3PO4 + 0.2903 LiCl,0.1429 WO3 + 0.8571 Li -> 0.4286 Li2O + 0.1429 W,WO3 -> WO3
Ga2O3,0.0,Y,-0.5,0.5 H2O + 0.5 Ga2O3 -> GaHO2,-10.8,-0.0,-241.8,-665.2,-9.9,0.3333 LiCoO2 + 0.6667 Ga2O3 -> 0.2222 LiGa5O8 + 0.1111 Ga2CoO4 + 0.1111 Li(CoO2)2,Ga2O3 -> Ga2O3,0.4286 Li6PS5Cl + 0.5714 Ga2O3 -> 0.1429 Ga2S3 + 0.4286 Li3PO4 + 0.8571 LiGaS2 + 0.4286 LiCl,0.8679 Li + 0.1321 Ga2O3 -> 0.03774 Li2Ga7 + 0.3962 Li2O,0.25 LiNbO3 + 0.75 Ga2O3 -> 0.25 LiGa5O8 + 0.25 NbGaO4
Al2O3,0.0,Y,-23.9,0.5 Al2O3 + 0.5 H2O -> AlHO2,-19.4,-0.0,-11.6,-220.3,-18.5,0.3333 LiCoO2 + 0.6667 Al2O3 -> 0.2222 LiAl5O8 + 0.1111 Li(CoO2)2 + 0.1111 Al2CoO4,Al2O3 -> Al2O3,0.2 Li6PS5Cl + 0.8 Al2O3 -> 0.2 Li3PS4 + 0.2 LiCl + 0.1 LiAlS2 + 0.3 LiAl5O8,0.3333 Al2O3 + 0.6667 Li -> 0.1667 LiAl + 0.5 LiAlO2,0.25 LiNbO3 + 0.75 Al2O3 -> 0.25 NbAlO4 + 0.25 LiAl5O8
Nb2O5,0.0,Y,0.0,Nb2O5 -> Nb2O5,-5.2,-0.0,-142.4,-585.1,-2.6,0.2857 Nb2O5 + 0.7143 LiCoO2 -> 0.1429 Co3O4 + 0.5714 LiNbO3 + 0.1429 Li(CoO2)2,Nb2O5 -> Nb2O5,0.4444 Nb2O5 + 0.5556 Li6PS5Cl -> 0.04678 Li5(NbS2)7 + 0.5614 NbS3 + 0.4386 Li2S + 0.5556 Li3PO4 + 0.5556 LiCl,0.2 Nb2O5 + 0.8 Li -> 0.4 LiNbO2 + 0.2 Li2O,0.5 Nb2O5 + 0.5 LiNbO3 -> 0.5 LiNb3O8
